series,lecture,rule,count
lecture-python-intro,ar1_processes,qe-code-001,3
lecture-python-intro,ar1_processes,qe-writing-005,1
lecture-python-intro,ar1_processes,qe-writing-003,1
lecture-python-intro,ar1_processes,qe-writing-007,1
lecture-python-intro,bayes_intro,qe-writing-005,3
lecture-python-intro,bayes_intro,qe-math-014,2
lecture-python-intro,bayes_intro,qe-writing-007,1
lecture-python-intro,bayes_intro,qe-writing-003,1
lecture-python-intro,bivariate_dist,qe-writing-002,11
lecture-python-intro,bivariate_dist,qe-writing-003,1
lecture-python-intro,bivariate_dist,qe-code-001,1
lecture-python-intro,business_cycle,qe-code-001,15
lecture-python-intro,business_cycle,qe-writing-002,1
lecture-python-intro,business_cycle,qe-writing-005,2
lecture-python-intro,business_cycle,qe-writing-003,1
lecture-python-intro,cagan_adaptive,qe-code-001,12
lecture-python-intro,cagan_adaptive,qe-writing-002,9
lecture-python-intro,cagan_adaptive,qe-writing-003,2
lecture-python-intro,cagan_adaptive,qe-writing-005,1
lecture-python-intro,cagan_adaptive,qe-writing-007,1
lecture-python-intro,cagan_ree,qe-writing-002,9
lecture-python-intro,cagan_ree,qe-writing-003,3
lecture-python-intro,cagan_ree,qe-writing-005,4
lecture-python-intro,cagan_ree,qe-code-001,4
lecture-python-intro,cobweb,qe-writing-005,3
lecture-python-intro,cobweb,qe-writing-002,1
lecture-python-intro,cobweb,qe-code-001,1
lecture-python-intro,commod_price,qe-writing-005,1
lecture-python-intro,commod_price,qe-writing-003,2
lecture-python-intro,commod_price,qe-writing-007,1
lecture-python-intro,commod_price,qe-code-001,1
lecture-python-intro,complex_and_trig,qe-code-001,10
lecture-python-intro,complex_and_trig,qe-writing-007,2
lecture-python-intro,complex_and_trig,qe-writing-003,2
lecture-python-intro,complex_and_trig,qe-writing-002,2
lecture-python-intro,complex_and_trig,qe-math-009,1
lecture-python-intro,complex_and_trig,qe-writing-005,1
lecture-python-intro,cons_smooth,qe-writing-002,9
lecture-python-intro,cons_smooth,qe-writing-005,3
lecture-python-intro,cons_smooth,qe-writing-003,1
lecture-python-intro,cons_smooth,qe-code-001,6
lecture-python-intro,eigen_I,qe-code-001,5
lecture-python-intro,eigen_I,qe-writing-005,2
lecture-python-intro,eigen_I,qe-writing-003,2
lecture-python-intro,eigen_I,qe-writing-002,3
lecture-python-intro,eigen_I,qe-writing-007,1
lecture-python-intro,eigen_II,qe-writing-007,3
lecture-python-intro,eigen_II,qe-writing-005,3
lecture-python-intro,eigen_II,qe-writing-003,2
lecture-python-intro,eigen_II,qe-writing-002,2
lecture-python-intro,eigen_II,qe-math-009,1
lecture-python-intro,eigen_II,qe-code-001,7
lecture-python-intro,equalizing_difference,qe-writing-002,5
lecture-python-intro,equalizing_difference,qe-writing-003,1
lecture-python-intro,equalizing_difference,qe-writing-005,2
lecture-python-intro,equalizing_difference,qe-code-001,5
lecture-python-intro,fitting_distributions,qe-writing-005,2
lecture-python-intro,fitting_distributions,qe-writing-002,2
lecture-python-intro,fitting_distributions,qe-writing-003,1
lecture-python-intro,french_rev,qe-writing-002,4
lecture-python-intro,french_rev,qe-writing-003,3
lecture-python-intro,french_rev,qe-writing-005,4
lecture-python-intro,french_rev,qe-writing-007,1
lecture-python-intro,french_rev,qe-code-001,9
lecture-python-intro,geom_series,qe-writing-005,4
lecture-python-intro,geom_series,qe-writing-002,4
lecture-python-intro,geom_series,qe-writing-003,2
lecture-python-intro,geom_series,qe-writing-007,1
lecture-python-intro,geom_series,qe-code-001,6
lecture-python-intro,greek_square,qe-math-009,4
lecture-python-intro,greek_square,qe-writing-005,4
lecture-python-intro,greek_square,qe-writing-002,3
lecture-python-intro,greek_square,qe-writing-003,2
lecture-python-intro,greek_square,qe-writing-007,1
lecture-python-intro,greek_square,qe-code-001,32
lecture-python-intro,heavy_tails,qe-code-001,7
lecture-python-intro,heavy_tails,qe-writing-003,1
lecture-python-intro,heavy_tails,qe-writing-005,2
lecture-python-intro,inequality,qe-code-001,16
lecture-python-intro,inequality,qe-writing-005,3
lecture-python-intro,inequality,qe-writing-002,2
lecture-python-intro,inflation_history,qe-writing-002,7
lecture-python-intro,inflation_history,qe-writing-003,2
